name,code,flightNumber,route
Aero Caribbean + Ay,AC,895,AC 895 - YYZ -> GCM
Aero Caribbean + Ay,AC,972,AC 972 - YYZ -> GCM
Air Canada,CD,1300,CD 1300 - YYZ -> GCM
Air Canada,CD,895,CD 895 - YOW -> GCM
American Airlines,AA,1962,AA 1962 - CLT -> GCM
American Airlines,AA,819,AA 819 - MIA -> GCM
American Airlines,AA,717,AA 717 - MIA -> GCM
American Airlines,AA,725,AA 725 - MIA -> GCM
American Airlines,AA,1552,AA 1552 - MIA -> GCM
American Airlines,AA,355,AA 355 - DFW -> GCM
American Airlines,AA,806,AA 806 - CHI -> GCM
American Airlines,AA,63,AA 63 - MIA -> GCM
American Airlines,AA,2465,AA 2465 - MIA -> GCM
American Airlines,AA,1111,AA 1111 - ORD -> GCM
American Airlines,AA,15,AA 15 - MIA -> GCM
American Airlines,AA,1653,AA 1653 - CLT -> GCM
American Airlines,AA,821,AA 821 - CLT -> GCM
American Airlines,AA,2197,AA 2197 - MIA -> GCM
American Airlines,AA,714,AA 714 - CLT -> GCM
American Airlines,AA,2197,AA 2197 - MIA -> GCM
American Airlines,AA,1733,AA 1733 - PHL -> GCM
American Airlines,AA,324,AA 324 - DFW -> GCM
American Airlines,AA,2229,AA 2229 - ORD -> GCM
American Airlines,AA,821,AA 821 - ORD -> GCM
American Airlines,AA,2465,AA 2465 - LEB -> GCM
American Airlines,AA,118,AA 118 - ORD -> GCM
American Airlines,AA,2871,AA 2871 - DFW -> GCM
American Airlines,AA,896,AA 896 - ORD -> GCM
American Airlines,AA,831,AA 831 - CLT -> GCM
American Airlines,AA,1277,AA 1277 - ORD -> GCM
American Airlines,AA,2436,AA 2436 - BOS -> GCM
American Airlines,AA,155,AA 155 - CLT -> GCM
American Airlines,AA,368,AA 368 - PHL -> GCM
American Airlines,AA,998,AA 998 - ORD -> GCM
American Airlines,AA,2945,AA 2945 - DFW -> GCM
American Airlines,AA,1628,AA 1628 - DFW -> GCM
American Airlines,AA,2687,AA 2687 - MIA -> GCM
American Airlines,AA,2177,AA 2177 - MIA -> GCM
American Airlines,AA,2687,AA 2687 - MIA -> GCM
American Airlines,AA,327,AA 327 - MIA -> GCM
American Airlines,AA,1994,AA 1994 - MIA -> GCM
American Airlines,AA,1554,AA 1554 - MIA -> GCM
American Airlines,AA,1677,AA 1677 - MIA -> GCM
American Airlines,AA,1344,AA 1344 - PHL -> GCM
American Airlines,AA,2613,AA 2613 - MIA -> GCM
American Airlines,AA,305,AA 305 - CLT -> GCM
American Airlines,AA,956,AA 956 - MIA -> GCM
American Airlines,AA,301,AA 301 - CLT -> GCM
American Airlines,AA,1731,AA 1731 - PHL -> GCM
American Airlines,AA,2017,AA 2017 - CLT -> GCM
American Airlines,AA,1544,AA 1544 - MIA -> GCM
American Airlines,AA,1300,AA 1300 - CLT -> GCM
American Airlines,AA,350,AA 350 - CLT -> GCM
American Airlines,AA,1300,AA 1300 - MIA -> GCM
American Airlines,AA,417,AA 417 - CLT -> GCM
American Airlines,AA,2057,AA 2057 - MIA -> GCM
American Airlines,AA,2034,AA 2034 - DFW -> GCM
American Airlines,AA,2454,AA 2454 - ONX -> GCM
American Airlines,AA,1007,AA 1007 - MIA -> GCM
American Airlines,AA,821,AA 821 - MIA -> GCM
American Airlines,AA,3285,AA 3285 - DFW -> GCM
American Airlines,AA,378,AA 378 - MIA -> GCM
American Airlines,AA,1737,AA 1737 - MIA -> GCM
Aviasca,AE,502,AE 502 - ADZ -> GCM
British Airways,BA,253,BA 253 - LHR -> GCM
British Airways,BA,253,BA 253 - RSL -> GCM
British Airways,BA,253,BA 253 - LHR -> GCM
British Airways,BA,9112,BA 9112 - LHR -> GCM
British Airways,BA,9123,BA 9123 - LHR -> GCM
British Airways,BA,198,BA 198 - BOM -> GCM
British Airways,BA,253,BA 253 - LHR -> GCM
British Airways,BA,253,BA 253 - LHR -> GCM
British Airways,BA,253,BA 253 - LHR -> GCM
British Airways,BA,9113,BA 9113 - LHR -> GCM
British Airways,BA,9115,BA 9115 - LHR -> GCM
British Airways,BA,9114,BA 9114 - LHR -> GCM
Canadian Airways,CA,490,CA 490 - PTY -> GCM
Caribbean Airlines,BW,8039,BW 8039 - KIN -> GCM
Caribbean Airlines,BW,8039,BW 8039 - KIN -> GCM
Caribbean Airlines,BW,5,BW 5 - KIN -> GCM
Caribbean Airlines,BW,9,BW 9 - KIN -> GCM
Caribbean Airlines,BW,8038,BW 8038 - MIA -> GCM
Caribbean Airlines,BW,8048,BW 8048 - MIA -> GCM
Cayman Airways,KX,3103,KX 3103 - MIA -> GCM
Cayman Airways,KX,3103,KX 3103 - MIA -> GCM
Cayman Airways,KX,3601,KX 3601 - KIN -> GCM
Cayman Airways,KX,2113,KX 2113 - MIA -> GCM
Cayman Airways,KX,3881,KX 3881 - LCE -> GCM
Cayman Airways,KX,3881,KX 3881 - LCE -> GCM
Cayman Airways,KX,3601,KX 3601 - KIN -> GCM
Cayman Airways,KX,3601,KX 3601 - KIN -> GCM
Cayman Airways,KX,2883,KX 2883 - LCE -> GCM
Cayman Airways,KX,2107,KX 2107 - MIA -> GCM
Cayman Airways,KX,2103,KX 2103 - MIA -> GCM
Cayman Airways,KX,2609,KX 2609 - KIN -> GCM
Cayman Airways,KX,3881,KX 3881 - LCE -> GCM
Cayman Airways,KX,3603,KX 3603 - KIN -> GCM
Cayman Airways,KX,605,KX 605 - KIN -> GCM
Cayman Airways,KX,3103,KX 3103 - MIA -> GCM
Cayman Airways,KX,3103,KX 3103 - MIA -> GCM
Cayman Airways,KX,3601,KX 3601 - KIN -> GCM
Cayman Airways,KX,3601,KX 3601 - KIN -> GCM
Cayman Airways,KX,3103,KX 3103 - MIA -> GCM
Cayman Airways,KX,481,KX 481 - LAX -> GCM
Cayman Airways,KX,7115,KX 7115 - MIA -> GCM
Cayman Airways,KX,441,KX 441 - DEN -> GCM
Cayman Airways,KX,117,KX 117 - MIA -> GCM
Cayman Airways,KX,8223,KX 8223 - ORL -> GCM
Cayman Airways,KX,124,KX 124 - MIA -> GCM
Cayman Airways,KX,441,KX 441 - DEN -> GCM
Cayman Airways,KX,853,KX 853 - PTY -> GCM
Cayman Airways,KX,803,KX 803 - BGI -> GCM
Cayman Airways,KX,852,KX 852 - ONX -> GCM
Cayman Airways,KX,2105,KX 2105 - MIA -> GCM
Cayman Airways,KX,2853,KX 2853 - PTY -> GCM
Cayman Airways,KX,833,KX 833 - HAV -> GCM
Cayman Airways,KX,835,KX 835 - HAV -> GCM
Cayman Airways,KX,885,KX 885 - RTB -> GCM
Cayman Airways,KX,107,KX 107 - MIA -> GCM
Cayman Airways,KX,793,KX 793 - JFK -> GCM
Cayman Airways,KX,105,KX 105 - MIA -> GCM
Cayman Airways,KX,909,KX 909 - MIA -> GCM
Cayman Airways,KX,103,KX 103 - MIA -> GCM
Cayman Airways,KX,201,KX 201 - TPA -> GCM
Cayman Airways,KX,621,KX 621 - KIN -> GCM
Cayman Airways,KX,109,KX 109 - MIA -> GCM
Cayman Airways,KX,203,KX 203 - TPA -> GCM
Cayman Airways,KX,205,KX 205 - TPA -> GCM
Cayman Airways,KX,3105,KX 3105 - MIA -> GCM
Cayman Airways,KX,123,KX 123 - MIA -> GCM
Cayman Airways,KX,607,KX 607 - KIN -> GCM
Cayman Airways,KX,883,KX 883 - LCE -> GCM
Cayman Airways,KX,621,KX 621 - KIN -> GCM
Cayman Airways,KX,621,KX 621 - KIN -> GCM
Cayman Airways,KX,2105,KX 2105 - MIA -> GCM
Cayman Airways,KX,2909,KX 2909 - MIA -> GCM
Cayman Airways,KX,601,KX 601 - KIN -> GCM
Cayman Airways,KX,609,KX 609 - KIN -> GCM
Cayman Airways,KX,2603,KX 2603 - KIN -> GCM
Cayman Airways,KX,884,KX 884 - RTB -> GCM
Cayman Airways,KX,8211,KX 8211 - TPA -> GCM
Cayman Airways,KX,8031,KX 8031 - SDQ -> GCM
Cayman Airways,KX,2605,KX 2605 - KIN -> GCM
Cayman Airways,KX,880,KX 880 - RTB -> GCM
Cayman Airways,KX,122,KX 122 - MIA -> GCM
Cayman Airways,KX,8071,KX 8071 - BOG -> GCM
Cayman Airways,KX,2601,KX 2601 - KIN -> GCM
Cayman Airways,KX,603,KX 603 - KIN -> GCM
Cayman Airways,KX,1081,KX 1081 - SJO -> GCM
Cayman Airways,KX,441,KX 441 - DEN -> GCM
Cayman Airways,KX,8253,KX 8253 - NAS -> GCM
Cayman Airways,KX,3880,KX 3880 - LCE -> GCM
Cayman Airways,KX,2607,KX 2607 - KIN -> GCM
Cayman Airways,KX,5,KX 5 - KIN -> GCM
Cayman Airways,KX,2881,KX 2881 - LCE -> GCM
Cayman Airways,KX,2880,KX 2880 - LCE -> GCM
Cayman Airways,KX,3123,KX 3123 - MIA -> GCM
Cayman Airways,KX,301,KX 301 - BGI -> GCM
Cayman Airways,KX,8021,KX 8021 - NAS -> GCM
Cayman Airways,KX,621,KX 621 - KIN -> GCM
Cayman Airways,KX,3103,KX 3103 - MIA -> GCM
Cayman Airways,KX,7003,KX 7003 - SEA -> GCM
Cayman Airways,KX,8853,KX 8853 - ONX -> GCM
Cayman Airways,KX,8043,KX 8043 - POS -> GCM
Cayman Airways,KX,4,KX 4 - SEA -> GCM
Cayman Airways,KX,3883,KX 3883 - LCE -> GCM
Cayman Airways,KX,8038,KX 8038 - MIA -> GCM
Cayman Airways,KX,8010,KX 8010 - BGI -> GCM
Cayman Airways,KX,3601,KX 3601 - KIN -> GCM
Cayman Airways,KX,757,KX 757 - MIA -> GCM
Cayman Airways,KX,3833,KX 3833 - HAV -> GCM
Cayman Airways,KX,113,KX 113 - MIA -> GCM
Cayman Airways,KX,3103,KX 3103 - MIA -> GCM
Cayman Airways,KX,3607,KX 3607 - KIN -> GCM
Cayman Airways,KX,3103,KX 3103 - MIA -> GCM
Cayman Airways Charter,DS,8909,DS 8909 - ATL -> GCM
Delta Airlines,DL,916,DL 916 - ATL -> GCM
Delta Airlines,DL,1652,DL 1652 - MES -> GCM
Delta Airlines,DL,733,DL 733 - DET -> GCM
Delta Airlines,DL,687,DL 687 - ATL -> GCM
Delta Airlines,DL,600,DL 600 - ATL -> GCM
Delta Airlines,DL,690,DL 690 - ATL -> GCM
Delta Airlines,DL,697,DL 697 - MIA -> GCM
Delta Airlines,DL,1988,DL 1988 - ATL -> GCM
Delta Airlines,DL,597,DL 597 - ATL -> GCM
Ibc,II,211,II 211 - MIA -> GCM
Ibc,II,725,II 725 - MIA -> GCM
Ibc,II,505,II 505 - MIA -> GCM
Ibc,II,727,II 727 - MIA -> GCM
Ibc,II,725,II 725 - PFN -> GCM
Ibc,II,213,II 213 - MIA -> GCM
Ibc,II,725,II 725 - PFN -> GCM
Ifl Group,IF,8127,IF 8127 - MIA -> GCM
Islena Air,IS,504,IS 504 - MIA -> GCM
Jetblue Airways,B6,765,B6 765 - JFK -> GCM
Jetblue Airways,B6,765,B6 765 - JFK -> GCM
Jetblue Airways,B6,143,B6 143 - BOS -> GCM
Jetblue Airways,B6,1397,B6 1397 - FLL -> GCM
Jetblue Airways,B6,1397,B6 1397 - FLL -> GCM
Jetblue Airways,B6,765,B6 765 - JFK -> GCM
Jetblue Airways,B6,2608,B6 2608 - FLL -> GCM
Jetblue Airways,B6,397,B6 397 - FLL -> GCM
Jetblue Airways,B6,397,B6 397 - FLL -> GCM
Jetblue Airways,B6,343,B6 343 - BOS -> GCM
Jetblue Airways,B6,143,B6 143 - BOS -> GCM
Jetblue Airways,B6,142,B6 142 - BOS -> GCM
Mountain Air Cargo,C2,8127,C2 8127 - MIA -> GCM
Private Air (Charter),PV,0,PV 0 - BWI -> GCM
Private Air (Charter),PV,119,PV 119 - MIA -> GCM
Private Air (Charter),PV,686,PV 686 - MIA -> GCM
Private Air (Charter),PV,515,PV 515 - MIA -> GCM
Private Air (Charter),PV,16,PV 16 - MIA -> GCM
Private Air (Charter),PV,78,PV 78 - MIA -> GCM
Private Air (Charter),PV,984,PV 984 - MIA -> GCM
Private Air (Charter),PV,752,PV 752 - MIA -> GCM
Private Air (Charter),PV,95,PV 95 - MIA -> LYB
Private Air (Charter),PV,8245,PV 8245 - ATL -> GCM
Private Air (Charter),PV,979,PV 979 - SJU -> GCM
Private Air (Charter),PV,171,PV 171 - MIA -> GCM
Private Air (Charter),PV,46,PV 46 - ORD -> GCM
Private Air (Charter),PV,45,PV 45 - GVA -> GCM
Private Air (Charter),PV,78,PV 78 - MIA -> GCM
Private Air (Charter),PV,1,PV 1 - MIA -> GCM
Private Air (Charter),PV,769,PV 769 - MIA -> GCM
Private Air (Charter),PV,501,PV 501 - PBI -> GCM
Private Air (Charter),PV,85025,PV 85025 - MIA -> GCM
Private Air (Charter),PV,85025,PV 85025 - MIA -> GCM
Private Air (Charter),PV,0,PV 0 - MOY -> GCM
Private Air (Charter),PV,501,PV 501 - BHM -> GCM
Private Air (Charter),PV,984,PV 984 - MIA -> GCM
Private Air (Charter),PV,171,PV 171 - MIA -> GCM
Private Air (Charter),PV,9,PV 9 - MIA -> GCM
Private Air (Charter),PV,550,PV 550 - MIA -> GCM
Private Air (Charter),PV,208,PV 208 - TPA -> GCM
Private Air (Charter),PV,561,PV 561 - FLL -> GCM
Private Air (Charter),PV,1492,PV 1492 - BCT -> GCM
Private Air (Charter),PV,1,PV 1 - MIA -> GCM
Private Air (Charter),PV,171,PV 171 - MIA -> GCM
Private Air (Charter),PV,14925,PV 14925 - MIA -> GCM
Private Air (Charter),PV,280,PV 280 - MIA -> GCM
Private Air (Charter),PV,78,PV 78 - MIA -> GCM
Private Air (Charter),PV,1,PV 1 - YYZ -> GCM
Private Air (Charter),PV,909,PV 909 - MIA -> GCM
Private Air (Charter),PV,850,PV 850 - DFW -> GCM
Private Air (Charter),PV,45,PV 45 - PIE -> GCM
Private Air (Charter),PV,909,PV 909 - MIA -> GCM
Private Air (Charter),PV,11,PV 11 - MIA -> GCM
Private Air (Charter),PV,984,PV 984 - MIA -> GCM
Private Air (Charter),PV,45,PV 45 - MIA -> GCM
Private Air (Charter),PV,609,PV 609 - MIA -> GCM
Private Air (Charter),PV,222,PV 222 - MIA -> GCM
Private Air (Charter),PV,1,PV 1 - TPA -> GCM
Private Air (Charter),PV,45,PV 45 - PBI -> GCM
Private Air (Charter),PV,8245,PV 8245 - TPA -> GCM
Private Air (Charter),PV,72,PV 72 - MIA -> GCM
Private Air (Charter),PV,151,PV 151 - MIA -> GCM
Private Air (Charter),PV,16,PV 16 - MIA -> GCM
Private Air (Charter),PV,824,PV 824 - MIA -> GCM
Private Air (Charter),PV,85,PV 85 - MIA -> GCM
Private Air (Charter),PV,980,PV 980 - MIA -> GCM
Private Air (Charter),PV,980,PV 980 - MIA -> GCM
Private Air (Charter),PV,365,PV 365 - MIA -> GCM
Private Air (Charter),PV,980,PV 980 - MIA -> GCM
Private Air (Charter),PV,51,PV 51 - MIA -> GCM
Private Air (Charter),PV,73,PV 73 - MIA -> GCM
Private Air (Charter),PV,171,PV 171 - MIA -> GCM
Private Air (Charter),PV,40,PV 40 - MIA -> GCM
Private Air (Charter),PV,824,PV 824 - ATL -> GCM
Private Air (Charter),PV,199,PV 199 - MIA -> GCM
Private Air (Charter),PV,824,PV 824 - MIA -> GCM
Private Air (Charter),PV,221,PV 221 - MIA -> GCM
Private Air (Charter),PV,313,PV 313 - MIA -> GCM
Private Air (Charter),PV,16,PV 16 - MIA -> GCM
Private Air (Charter),PV,46,PV 46 - MIA -> GCM
Private Air (Charter),PV,171,PV 171 - MIA -> GCM
Private Air (Charter),PV,824,PV 824 - MIA -> GCM
Private Air (Charter),PV,909,PV 909 - MIA -> GCM
Private Air (Charter),PV,824,PV 824 - MIA -> GCM
Private Air (Charter),PV,990,PV 990 - MIA -> GCM
Private Air (Charter),PV,16,PV 16 - HAV -> GCM
Private Air (Charter),PV,824,PV 824 - MIA -> GCM
Private Air (Charter),PV,1,PV 1 - EYW -> GCM
Private Air (Charter),PV,463,PV 463 - EYW -> GCM
Private Air (Charter),PV,793,PV 793 - SNA -> GCM
Private Air (Charter),PV,1,PV 1 - MIA -> GCM
Private Air (Charter),PV,828,PV 828 - MIA -> GCM
Private Air (Charter),PV,720,PV 720 - MIA -> GCM
Private Air (Charter),PV,85025,PV 85025 - MIA -> GCM
Private Air (Charter),PV,635,PV 635 - MIO -> GCM
Private Air (Charter),PV,16,PV 16 - MIA -> GCM
Private Air (Charter),PV,16,PV 16 - MIA -> GCM
Private Air (Charter),PV,1492,PV 1492 - YYZ -> GCM
Private Air (Charter),PV,984,PV 984 - ATL -> GCM
Private Air (Charter),PV,199,PV 199 - HOU -> GCM
Private Air (Charter),PV,691,PV 691 - MIA -> GCM
Private Air (Charter),PV,980,PV 980 - MIA -> GCM
Private Air (Charter),PV,541,PV 541 - MIA -> GCM
Private Air (Charter),PV,53,PV 53 - MIA -> GCM
Private Air (Charter),PV,288,PV 288 - MIA -> GCM
Private Air (Charter),PV,605,PV 605 - SAN -> GCM
Private Air (Charter),PV,85025,PV 85025 - MIA -> GCM
Private Air (Charter),PV,444,PV 444 - MIA -> GCM
Private Air (Charter),PV,8011,PV 8011 - MIA -> GCM
Private Air (Charter),PV,221,PV 221 - TAH -> GCM
Private Air (Charter),PV,528,PV 528 - BNA -> GCM
Private Air (Charter),PV,365,PV 365 - MIA -> GCM
Private Air (Charter),PV,981,PV 981 - MIA -> GCM
Private Air (Charter),PV,946,PV 946 - CHI -> GCM
Private Air (Charter),PV,881,PV 881 - MIA -> GCM
Private Air (Charter),PV,1,PV 1 - YYZ -> GCM
Private Air (Charter),PV,123,PV 123 - YYZ -> GCM
Private Air (Charter),PV,817,PV 817 - MIA -> GCM
Private Air (Charter),PV,609,PV 609 - MIA -> GCM
Private Air (Charter),PV,885,PV 885 - MIA -> GCM
Private Air (Charter),PV,753,PV 753 - PBI -> GCM
Private Air (Charter),PV,1,PV 1 - QUE -> GCM
Private Air (Charter),PV,1,PV 1 - YYZ -> GCM
Private Air (Charter),PV,609,PV 609 - KCK -> GCM
Private Air (Charter),PV,900,PV 900 - KCK -> GCM
Private Air (Charter),PV,48,PV 48 - MIA -> GCM
Private Air (Charter),PV,382,PV 382 - FLL -> GCM
Private Air (Charter),PV,16,PV 16 - MIA -> GCM
Private Air (Charter),PV,400,PV 400 - MIA -> GCM
Private Air (Charter),PV,63,PV 63 - USC -> GCM
Private Air (Charter),PV,137,PV 137 - BWI -> GCM
Private Air (Charter),PV,794,PV 794 - FLL -> GCM
Private Air (Charter),PV,609,PV 609 - MCI -> GCM
Private Air (Charter),PV,800,PV 800 - BGI -> GCM
Private Air (Charter),PV,740,PV 740 - CLT -> GCM
Private Air (Charter),PV,1,PV 1 - TOR -> GCM
Private Air (Charter),PV,7679,PV 7679 - ATL -> GCM
Private Air (Charter),PV,444,PV 444 - MIA -> GCM
Private Air (Charter),PV,1,PV 1 - MIA -> GCM
Private Air (Charter),PV,327,PV 327 - MIA -> GCM
Private Air (Charter),PV,405,PV 405 - MIA -> GCM
Private Air (Charter),PV,10,PV 10 - MIA -> GCM
Private Air (Charter),PV,215,PV 215 - MIA -> GCM
Private Air (Charter),PV,991,PV 991 - MIA -> GCM
Private Air (Charter),PV,296,PV 296 - FLL -> GCM
Private Air (Charter),PV,889,PV 889 - YYZ -> GCM
Private Air (Charter),PV,450,PV 450 - MIA -> GCM
Private Air (Charter),PV,21,PV 21 - MIA -> GCM
Private Air (Charter),PV,200,PV 200 - MIA -> GCM
Private Air (Charter),PV,90,PV 90 - SRQ -> GCM
Private Air (Charter),PV,821,PV 821 - MIA -> GCM
